source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[compound]	characteristics[phenotype]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[enrichment process]	assay name	characteristics[biological replicate]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]	material type	factor value[phenotype]	factor value[enrichment process]
sample 1	homo sapiens	not applicable	not available	not available	Female	normal	compound: none	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr1.raw	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr1.raw	cell	normal	enrichment of phosphorylated Protein
sample 1	homo sapiens	not applicable	not available	not available	Female	normal	compound: none	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr2.raw	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr2.raw	cell	normal	enrichment of phosphorylated Protein
sample 1	homo sapiens	not applicable	not available	not available	Female	normal	compound: none	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr3.raw	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr3.raw	cell	normal	enrichment of phosphorylated Protein
sample 1	homo sapiens	not applicable	not available	not available	Female	normal	compound: none	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 4	1	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr4.raw	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr4.raw	cell	normal	enrichment of phosphorylated Protein
sample 1	homo sapiens	not applicable	not available	not available	Female	normal	compound: none	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 5	1	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr5.raw	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr5.raw	cell	normal	enrichment of phosphorylated Protein
sample 1	homo sapiens	not applicable	not available	not available	Female	normal	compound: none	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 6	1	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr6.raw	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_Fr6.raw	cell	normal	enrichment of phosphorylated Protein
sample 1	homo sapiens	not applicable	not available	not available	Female	normal	compound: none	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 7	1	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT1.raw	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT1.raw	cell	normal	enrichment of phosphorylated Protein
sample 1	homo sapiens	not applicable	not available	not available	Female	normal	compound: none	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 8	1	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT2.raw	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT2.raw	cell	normal	enrichment of phosphorylated Protein
sample 1	homo sapiens	not applicable	not available	not available	Female	normal	compound: none	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 9	1	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT3.raw	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep4_FT3.raw	cell	normal	enrichment of phosphorylated Protein
sample 2	homo sapiens	not applicable	not available	not available	Female	normal	compound: none	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 10	2	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr1.raw	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr1.raw	cell	normal	enrichment of phosphorylated Protein
sample 2	homo sapiens	not applicable	not available	not available	Female	normal	compound: none	not available	not available	not available	not available	enrichment of phosphorylated Protein	run 11	2	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000612/20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr2.raw	20111225_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep5_Fr2.raw	cell	normal	enrichment of phosphorylated Protein
